segment,step,year,lat_change,lon_change
1,2,2023,0.0004753967073973797,0.00015574138157603556
1,3,2024,0.00047937540057674255,0.00015795635712834155
1,4,2025,0.000480333635564989,0.00015852197894616893
1,5,2026,0.00048081873335803493,0.00015877172120326577
1,6,2027,0.0004811020907453667,0.00015887788691770766
1,7,2028,0.00048100001839301854,0.0001589387486120586
1,8,2029,0.0004810531986834121,0.00015900394404866347
1,9,2030,0.00048099822583580476,0.00015899575201672178
1,10,2031,0.0004812890741021647,0.00015899513459771697
1,11,2032,0.00048131748564372856,0.0001591176881561296
1,12,2033,0.00048129527494822355,0.000159123747778267
1,13,2034,0.00048137859471353295,0.00015912165501674735
1,14,2035,0.0004812268379623674,0.00015915950514511223
1,15,2036,0.0004814363300624791,0.0001591726108927105
1,16,2037,0.00048146951104044433,0.0001592249651309885
1,17,2038,0.0004816757064602939,0.0001591605707602639
1,18,2039,0.0004816175893829211,0.0001591799851610176
1,19,2040,0.00048151066449975133,0.0001592453111101122
1,20,2041,0.0004814325006954334,0.00015927649710079095
1,21,2042,0.0004816269912417681,0.0001592190213699496
1,22,2043,0.0004816805238725408,0.00015924637236253147
1,23,2044,0.00048164854185728245,0.00015930335092662062
1,24,2045,0.00048175110713089,0.0001592907133982635
1,25,2046,0.0004817300752222309,0.00015931344269404235
1,26,2047,0.00048164650878490534,0.0001593168961022684
1,27,2048,0.00048176663683108245,0.00015936986858378077
1,28,2049,0.0004819154342676768,0.00015929019185989546
1,29,2050,0.00048194508645948986,0.0001593025700827866
1,30,2051,0.00048196135892553116,0.00015935268729094787
1,31,2052,0.0004820109698648878,0.0001593612799837274
1,32,2053,0.00048202492233428984,0.00015933513394372767
1,33,2054,0.0004819822673276519,0.00015935907387643056
1,34,2055,0.000482015121328061,0.00015941973583721847
1,35,2056,0.0004820799987825808,0.00015942892521536578
1,36,2057,0.00048230699586682135,0.00015940200336217458
1,37,2058,0.0004823419487358649,0.0001594382605105693
1,38,2059,0.0004823762055643499,0.00015949267985604365
1,39,2060,0.0004823011436982938,0.00015948277034283365
1,40,2061,0.0004824305749728808,0.0001594578739059216
1,41,2062,0.000482464674934846,0.00015948013901834202
1,42,2063,0.0004823573977965623,0.00015949749625576715
1,43,2064,0.00048219243290503755,0.00015950116612373222
1,44,2065,0.00048235551223996254,0.000159486395872932
1,45,2066,0.00048236520038713593,0.0001595380028334148
1,46,2067,0.00048231366805140397,0.00015962956327086886
1,47,2068,0.0004824371235336855,0.00015961295248700935
1,48,2069,0.00048258893792052504,0.0001596207747667222
1,49,2070,0.00048254202211595043,0.00015959660194653225
1,50,2071,0.0004824427833796108,0.0001596496640559053
1,51,2072,0.00048252017441541284,0.00015962022811777388
1,52,2073,0.0004826055965914122,0.00015965528615424773
1,53,2074,0.0004826600241010226,0.00015967967758001578
1,54,2075,0.0004825919344462193,0.00015966817755952434
1,55,2076,0.0004825759779372163,0.0001596941443438027
1,56,2077,0.00048269109921506015,0.00015966559101343591
1,57,2078,0.00048268940389561976,0.00015970124759689952
1,58,2079,0.0004828060352295438,0.00015968003339139614
